Date,Description,Category,Amount,Type
11-10-2018,Sambhar Vada ,OutsideFood,35,Debit
12-10-2018,Wifi C310,Utilities,400,Debit
12-10-2018,Swiggy Dinner,OutsideFood,94,Debit
12-10-2018,Auto,Transport,40,Debit
12-10-2018,Chat office,OutsideFood,60,Debit
12-10-2018,Cut fruits,Snacks,20,Debit
12-10-2018,Mysuru Bonda,OutsideFood,30,Debit
13-10-2018,Swiggy Maharaja Thali,OutsideFood,231,Debit
13-10-2018,To Poor,Donation,30,Debit
13-10-2018,Daily Needs Heritage,DailyNeeds,400,Debit
13-10-2018,Grocer Heritage,Grocery,150,Debit
14-10-2018,Dominos Pizza,OutsideFood,120,Debit
14-10-2018,Water,Utilities,10,Debit
14-10-2018,Pepsi,Snacks,50,Debit
14-10-2018,Ind WI Test match live,Entertainment,500,Debit
14-10-2018,Auto,Transport,80,Debit
14-10-2018,Metro,Transport,120,Debit
14-10-2018,Panipuri,OutsideFood,40,Debit
14-10-2018,Icecream,Snacks,30,Debit
15-10-2018,Auto,Transport,40,Debit
15-10-2018,Panipuri,OutsideFood,40,Debit
15-10-2018,APY Contribution,Investment,248,Debit
15-10-2018,Sandwich Office,OutsideFood,50,Debit
15-10-2018,Sambhar Vada ,OutsideFood,35,Debit
15-10-2018,JIO Recharge,Utilities,399,Debit
16-10-2018,MacD Burger,OutsideFood,160,Debit
16-10-2018,Lunch,OutsideFood,70,Debit
16-10-2018,Chocolate,Snacks,10,Debit
16-10-2018,Breakfast Idli,OutsideFood,25,Debit
16-10-2018,Auto,Transport,60,Debit
16-10-2018,Ola Bike,Transport,30,Debit
16-10-2018,Swiggy Thickshake,OutsideFood,150,Debit
16-10-2018,Hard disk Cover  ,Shopping,220,Debit
16-10-2018,Abhishika Tea,Friends,24,Debit
17-10-2018,Sandwich Sardarji,OutsideFood,50,Debit
17-10-2018,Water jug home,Shopping,90,Debit
17-10-2018,Snacks,Snacks,125,Debit
17-10-2018,Swiggy Thickshake,OutsideFood,120,Debit
17-10-2018,Auto,Transport,60,Debit
17-10-2018,Dosa Office,OutsideFood,35,Debit
18-10-2018,Cut fruits,Snacks,20,Debit
18-10-2018,Auto,Transport,40,Debit
18-10-2018,Dosa Office,OutsideFood,35,Debit
18-10-2018,Home DTH Recharge,Family,50,Debit
18-10-2018,Fasos Swiggy,OutsideFood,66,Debit
19-10-2018,Swiggy Thickshake,OutsideFood,135,Debit
19-10-2018,Paratha Bliss Punjabi Swiggy,OutsideFood,60,Debit
19-10-2018,Auto,Transport,40,Debit
19-10-2018,CutFruits office,Snacks,20,Debit
19-10-2018,Idli office,OutsideFood,30,Debit
20-10-2018,Laptop Repair SSD,Self,8350,Debit
20-10-2018,Swiggy Thickshake,OutsideFood,101,Debit
20-10-2018,Auto,Transport,20,Debit
20-10-2018,Swiggy Thickshake,OutsideFood,135,Debit
20-10-2018,Swiggy Parathas and More,OutsideFood,77,Debit
20-10-2018,Swiggy Sardarji,OutsideFood,67,Debit
